0: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
40: (10, 0)(10, 0)(7, 1)(6, 1)(6, 0)(1, 0)(1, 0)(1, 0)
41: (10, 0)(10, 0)(7, 1)(6, 1)(6, 0)(2, 0)(2, 0)(2, 0)
42: (11, 0)(11, 0)(7, 1)(6, 1)(6, 0)(2, 0)(2, 0)(2, 0)
43: (11, 0)(11, 0)(7, 1)(6, 1)(7, 0)(2, 0)(2, 0)(2, 0)
44: (11, 0)(11, 0)(7, 1)(6, 1)(7, 0)(3, 0)(3, 0)(3, 0)
45: (12, 0)(12, 0)(7, 1)(6, 1)(7, 0)(3, 0)(3, 0)(3, 0)
46: (12, 0)(12, 0)(8, 1)(6, 1)(7, 1)(3, 0)(3, 0)(3, 0)
47: (12, 0)(12, 0)(8, 1)(6, 1)(7, 1)(4, 0)(4, 0)(4, 0)
48: (13, 0)(13, 0)(8, 1)(6, 1)(7, 1)(4, 0)(4, 0)(4, 0)
49: (13, 0)(13, 0)(9, 1)(6, 1)(7, 1)(4, 0)(4, 0)(4, 0)
50: (13, 0)(13, 0)(9, 1)(6, 1)(7, 1)(5, 0)(5, 0)(5, 0)
51: (14, 0)(14, 0)(9, 1)(6, 1)(7, 1)(5, 0)(5, 0)(5, 0)
52: (14, 0)(14, 0)(10, 1)(6, 1)(7, 1)(5, 0)(5, 0)(5, 0)
53: (14, 0)(14, 0)(10, 1)(7, 1)(7, 1)(5, 1)(6, 0)(6, 0)
54: (15, 0)(15, 0)(10, 1)(7, 1)(7, 1)(5, 1)(6, 0)(6, 0)
55: (15, 0)(15, 0)(11, 1)(7, 1)(7, 1)(5, 1)(6, 0)(6, 0)
56: (15, 0)(15, 0)(11, 1)(8, 1)(7, 1)(5, 1)(7, 0)(7, 0)
57: (16, 0)(16, 0)(11, 1)(8, 1)(7, 1)(5, 1)(7, 0)(7, 0)
58: (16, 0)(16, 0)(11, 2)(8, 1)(7, 1)(5, 1)(7, 0)(7, 0)
59: (16, 0)(16, 0)(11, 2)(9, 1)(8, 1)(5, 1)(6, 0)(8, 0)
60: (17, 0)(17, 0)(11, 2)(9, 1)(8, 1)(5, 1)(6, 0)(8, 0)
61: (17, 0)(17, 0)(11, 2)(9, 1)(8, 1)(5, 1)(6, 0)(8, 0)
62: (17, 0)(17, 0)(11, 2)(10, 1)(9, 1)(5, 1)(5, 0)(9, 0)
63: (18, 0)(18, 0)(11, 2)(10, 1)(9, 1)(5, 1)(5, 0)(9, 0)
64: (18, 0)(18, 0)(11, 2)(10, 1)(9, 1)(5, 1)(5, 0)(9, 0)
65: (18, 0)(18, 0)(11, 2)(11, 1)(10, 1)(5, 1)(4, 0)(10, 0)
66: (19, 0)(19, 0)(11, 2)(11, 1)(10, 1)(6, 1)(4, 0)(10, 0)
67: (19, 0)(19, 0)(11, 2)(11, 1)(10, 1)(6, 1)(4, 0)(10, 0)
68: (19, 0)(19, 0)(11, 2)(12, 1)(11, 1)(6, 1)(4, 1)(11, 0)
69: (20, 0)(20, 0)(11, 2)(12, 1)(11, 1)(7, 1)(4, 1)(11, 0)
70: (20, 0)(20, 0)(11, 2)(12, 1)(11, 1)(7, 1)(4, 1)(11, 0)
71: (20, 0)(20, 0)(12, 2)(13, 1)(12, 1)(7, 1)(4, 1)(12, 0)
72: (21, 0)(21, 0)(12, 2)(13, 1)(12, 1)(8, 1)(4, 1)(12, 0)
73: (21, 0)(21, 0)(12, 2)(13, 1)(12, 1)(8, 1)(4, 1)(12, 0)
74: (21, 0)(21, 0)(13, 2)(14, 1)(13, 1)(8, 1)(4, 1)(13, 0)
75: (22, 0)(22, 0)(13, 2)(14, 1)(13, 1)(9, 1)(4, 1)(13, 0)
76: (22, 0)(22, 0)(13, 2)(14, 1)(13, 1)(9, 1)(4, 1)(13, 0)
77: (22, 0)(22, 0)(14, 2)(15, 1)(13, 2)(9, 1)(4, 1)(14, 0)
78: (23, 0)(23, 0)(14, 2)(15, 1)(13, 2)(10, 1)(4, 1)(14, 0)
79: (23, 0)(23, 0)(14, 2)(15, 1)(13, 2)(10, 1)(4, 1)(14, 0)
80: (23, 0)(23, 0)(15, 2)(16, 1)(13, 2)(10, 1)(4, 1)(15, 0)
81: (24, 0)(24, 0)(15, 2)(16, 1)(13, 2)(11, 1)(4, 2)(15, 0)
82: (24, 0)(24, 0)(15, 2)(16, 1)(13, 2)(11, 1)(4, 2)(15, 0)
83: (24, 0)(24, 0)(16, 2)(17, 1)(13, 2)(11, 1)(4, 2)(16, 0)
84: (25, 0)(25, 0)(16, 2)(17, 1)(13, 2)(12, 1)(4, 2)(16, 0)
85: (25, 0)(25, 0)(16, 2)(17, 1)(13, 2)(12, 1)(4, 2)(16, 0)
86: (25, 0)(25, 0)(17, 2)(18, 1)(13, 2)(12, 1)(4, 2)(17, 0)
87: (26, 0)(25, 1)(17, 2)(18, 1)(13, 2)(13, 1)(4, 2)(17, 0)
88: (26, 0)(25, 1)(17, 2)(18, 1)(13, 2)(13, 1)(4, 2)(17, 0)
89: (26, 0)(25, 1)(18, 2)(19, 1)(13, 2)(13, 1)(4, 2)(18, 0)
90: (27, 0)(25, 1)(18, 2)(19, 1)(14, 2)(13, 2)(4, 2)(18, 0)
91: (27, 0)(25, 1)(18, 2)(19, 1)(14, 2)(13, 2)(4, 2)(18, 0)
92: (27, 0)(25, 1)(19, 2)(20, 1)(14, 2)(13, 2)(4, 2)(19, 0)
93: (28, 0)(25, 1)(19, 2)(20, 1)(15, 2)(13, 2)(4, 2)(19, 0)
94: (28, 0)(25, 1)(19, 2)(20, 1)(15, 2)(13, 2)(3, 2)(19, 0)
95: (28, 0)(25, 1)(20, 2)(21, 1)(15, 2)(13, 2)(3, 2)(20, 0)
96: (29, 0)(25, 1)(20, 2)(21, 1)(16, 2)(13, 2)(3, 2)(20, 0)
97: (29, 0)(25, 1)(20, 2)(21, 1)(16, 2)(13, 2)(2, 2)(20, 0)
98: (29, 0)(25, 1)(21, 2)(22, 1)(16, 2)(13, 2)(2, 2)(21, 0)
99: (30, 0)(25, 1)(21, 2)(22, 1)(16, 1)(13, 2)(2, 2)(21, 0)
100: (30, 0)(26, 1)(21, 2)(22, 1)(16, 1)(13, 2)(1, 2)(21, 0)
101: (30, 0)(26, 1)(22, 2)(23, 1)(16, 1)(13, 2)(1, 2)(22, 0)
102: (31, 0)(26, 1)(22, 2)(23, 1)(16, 1)(13, 2)(1, 2)(22, 0)
103: (31, 0)(27, 1)(22, 2)(23, 1)(16, 1)(14, 2)(0, 2)(22, 0)
104: (31, 0)(27, 1)(23, 2)(24, 1)(16, 1)(14, 2)(0, 2)(21, 0)
105: (32, 0)(27, 1)(23, 2)(24, 1)(16, 1)(14, 2)(0, 2)(21, 0)
106: (32, 0)(28, 1)(23, 2)(24, 1)(16, 1)(15, 2)(0, 3)(21, 0)
107: (32, 0)(28, 1)(24, 2)(25, 1)(16, 1)(15, 2)(0, 3)(20, 0)
108: (33, 0)(28, 1)(24, 2)(25, 1)(16, 1)(15, 2)(0, 3)(20, 0)
109: (33, 0)(28, 2)(24, 2)(25, 1)(16, 1)(16, 2)(0, 3)(20, 0)
110: (33, 0)(28, 2)(25, 2)(26, 1)(16, 1)(16, 2)(0, 3)(19, 0)
111: (34, 0)(28, 2)(25, 2)(26, 1)(16, 1)(16, 2)(0, 3)(19, 0)
112: (34, 0)(28, 2)(25, 2)(26, 1)(17, 1)(17, 2)(0, 3)(19, 0)
113: (34, 0)(28, 2)(25, 1)(27, 1)(17, 1)(17, 2)(0, 3)(18, 0)
114: (35, 0)(28, 2)(25, 1)(27, 1)(17, 1)(17, 2)(0, 3)(18, 0)
115: (35, 0)(28, 2)(25, 1)(27, 1)(18, 1)(18, 2)(0, 3)(18, 0)
116: (35, 0)(28, 2)(25, 1)(28, 1)(18, 1)(18, 2)(0, 3)(17, 0)
117: (36, 0)(28, 2)(25, 1)(28, 1)(18, 1)(18, 2)(0, 3)(17, 0)
118: (36, 0)(28, 2)(25, 1)(28, 1)(19, 1)(19, 2)(0, 3)(17, 0)
119: (36, 0)(28, 2)(25, 1)(29, 1)(19, 1)(19, 2)(1, 3)(16, 0)
120: (37, 0)(28, 2)(25, 1)(29, 1)(19, 1)(19, 2)(1, 3)(16, 0)
121: (37, 0)(28, 2)(25, 1)(29, 1)(20, 1)(20, 2)(1, 3)(16, 0)
122: (37, 0)(29, 2)(25, 1)(30, 1)(20, 1)(20, 2)(2, 3)(15, 0)
123: (37, 1)(29, 2)(25, 1)(30, 1)(20, 1)(20, 2)(2, 3)(15, 0)
124: (37, 1)(29, 2)(25, 1)(30, 1)(21, 1)(20, 1)(2, 3)(15, 0)
125: (37, 1)(30, 2)(25, 1)(31, 1)(21, 1)(20, 1)(3, 3)(14, 0)
126: (37, 1)(30, 2)(26, 1)(31, 1)(21, 1)(20, 1)(3, 3)(14, 0)
127: (37, 1)(30, 2)(26, 1)(31, 1)(22, 1)(20, 1)(3, 3)(14, 0)
128: (37, 1)(31, 2)(26, 1)(32, 1)(22, 1)(20, 1)(3, 4)(13, 0)
129: (37, 1)(31, 2)(27, 1)(32, 1)(22, 1)(20, 1)(3, 4)(13, 0)
130: (37, 1)(31, 2)(27, 1)(32, 1)(21, 1)(20, 1)(3, 4)(13, 0)
131: (37, 1)(32, 2)(27, 1)(33, 1)(21, 1)(20, 1)(3, 4)(12, 0)
132: (37, 1)(32, 2)(28, 1)(33, 1)(21, 1)(20, 1)(3, 4)(12, 0)
133: (37, 1)(32, 2)(28, 1)(33, 1)(21, 2)(20, 1)(3, 4)(12, 0)
134: (37, 1)(33, 2)(28, 1)(34, 1)(21, 2)(20, 1)(3, 4)(11, 0)
135: (37, 1)(33, 2)(29, 1)(34, 1)(21, 2)(20, 1)(3, 4)(11, 0)
136: (38, 1)(33, 2)(29, 1)(34, 1)(21, 2)(20, 1)(3, 4)(11, 0)
137: (38, 1)(34, 2)(29, 1)(35, 1)(21, 2)(21, 1)(3, 4)(10, 0)
138: (38, 1)(34, 2)(30, 1)(35, 1)(21, 2)(21, 1)(3, 4)(10, 0)
139: (39, 1)(34, 2)(30, 1)(35, 1)(21, 2)(21, 1)(3, 4)(10, 0)
140: (39, 1)(35, 2)(30, 1)(36, 1)(21, 2)(22, 1)(3, 4)(9, 0)
141: (39, 1)(35, 2)(31, 1)(36, 1)(21, 2)(22, 1)(4, 4)(9, 0)
142: (40, 1)(35, 2)(31, 1)(36, 1)(21, 2)(22, 1)(4, 4)(9, 0)
143: (40, 1)(36, 2)(31, 1)(37, 1)(21, 2)(23, 1)(4, 4)(9, 1)
144: (40, 1)(36, 2)(32, 1)(37, 1)(21, 2)(23, 1)(5, 4)(9, 1)
145: (41, 1)(36, 2)(32, 1)(37, 1)(21, 2)(23, 1)(5, 4)(9, 1)
146: (41, 1)(36, 1)(32, 1)(38, 1)(22, 2)(24, 1)(5, 4)(9, 1)
147: (41, 1)(36, 1)(33, 1)(38, 1)(22, 2)(24, 1)(6, 4)(9, 1)
148: (42, 1)(36, 1)(33, 1)(38, 1)(22, 2)(24, 1)(6, 4)(9, 1)
149: (42, 1)(36, 1)(33, 1)(38, 0)(23, 2)(25, 1)(6, 4)(9, 1)
150: (42, 1)(36, 1)(34, 1)(38, 0)(23, 2)(25, 1)(7, 4)(9, 1)
151: (43, 1)(36, 1)(34, 1)(38, 0)(23, 2)(25, 1)(7, 4)(9, 1)
152: (43, 1)(36, 1)(34, 1)(38, 0)(22, 2)(26, 1)(7, 4)(9, 1)
153: (43, 1)(36, 1)(34, 2)(38, 0)(22, 2)(26, 1)(8, 4)(8, 1)
154: (44, 1)(36, 1)(34, 2)(38, 0)(22, 2)(26, 1)(8, 4)(8, 1)
155: (44, 1)(36, 1)(34, 2)(38, 0)(21, 2)(27, 1)(8, 4)(8, 1)
156: (44, 1)(36, 1)(34, 2)(38, 0)(21, 2)(27, 1)(9, 4)(7, 1)
157: (45, 1)(36, 1)(34, 2)(38, 0)(21, 2)(27, 1)(9, 4)(7, 1)
158: (45, 1)(36, 1)(34, 2)(38, 0)(20, 2)(28, 1)(9, 4)(7, 1)
159: (45, 1)(37, 1)(34, 2)(38, 0)(20, 2)(28, 1)(9, 5)(6, 1)
160: (46, 1)(37, 1)(34, 2)(38, 0)(20, 2)(28, 1)(9, 5)(6, 1)
161: (46, 1)(37, 1)(34, 2)(38, 0)(19, 2)(29, 1)(9, 5)(6, 1)
162: (46, 1)(38, 1)(34, 2)(39, 0)(19, 2)(29, 1)(9, 5)(5, 1)
163: (46, 0)(38, 1)(34, 2)(39, 0)(19, 2)(29, 1)(9, 5)(5, 1)
164: (46, 0)(38, 1)(34, 2)(39, 0)(19, 3)(30, 1)(9, 5)(5, 1)
165: (46, 0)(39, 1)(34, 2)(40, 0)(19, 3)(30, 1)(9, 5)(5, 2)
166: (46, 0)(39, 1)(35, 2)(40, 0)(19, 3)(30, 1)(9, 5)(5, 2)
167: (46, 0)(39, 1)(35, 2)(40, 0)(19, 3)(31, 1)(9, 5)(5, 2)
168: (46, 0)(40, 1)(35, 2)(41, 0)(19, 3)(31, 1)(9, 5)(5, 2)
169: (46, 0)(40, 1)(36, 2)(41, 0)(19, 3)(31, 1)(9, 5)(5, 2)
170: (46, 0)(40, 1)(36, 2)(41, 0)(19, 3)(32, 1)(9, 5)(5, 2)
171: (46, 0)(40, 0)(36, 2)(42, 0)(19, 3)(32, 1)(9, 5)(5, 2)
172: (46, 0)(40, 0)(37, 2)(42, 0)(19, 3)(32, 1)(10, 5)(5, 2)
173: (46, 0)(40, 0)(37, 2)(42, 0)(19, 3)(33, 1)(10, 5)(5, 2)
174: (46, 0)(40, 0)(37, 2)(43, 0)(19, 3)(33, 1)(10, 5)(5, 2)
175: (46, 0)(40, 0)(38, 2)(43, 0)(19, 3)(33, 1)(11, 5)(5, 2)
176: (45, 0)(40, 0)(38, 2)(43, 0)(19, 3)(33, 0)(11, 5)(5, 2)
177: (45, 0)(40, 0)(38, 2)(44, 0)(20, 3)(33, 0)(11, 5)(5, 2)
178: (45, 0)(40, 0)(39, 2)(44, 0)(20, 3)(33, 0)(12, 5)(6, 2)
179: (44, 0)(40, 0)(39, 2)(44, 0)(20, 3)(33, 0)(12, 5)(6, 2)
180: (44, 0)(40, 0)(39, 2)(45, 0)(21, 3)(33, 0)(12, 5)(6, 2)
181: (44, 0)(40, 0)(40, 2)(45, 0)(21, 3)(33, 0)(13, 5)(7, 2)
182: (43, 0)(40, 0)(40, 2)(45, 0)(21, 3)(33, 0)(13, 5)(7, 2)
183: (43, 0)(40, 0)(40, 2)(45, 1)(22, 3)(33, 0)(13, 5)(7, 2)
184: (43, 0)(41, 0)(41, 2)(45, 1)(22, 3)(33, 0)(14, 5)(8, 2)
185: (42, 0)(41, 0)(41, 2)(45, 1)(22, 3)(33, 0)(14, 5)(8, 2)
186: (42, 0)(41, 0)(41, 2)(45, 1)(23, 3)(33, 0)(14, 5)(8, 2)
187: (42, 0)(42, 0)(41, 1)(45, 1)(23, 3)(33, 0)(15, 5)(9, 2)
188: (41, 0)(42, 0)(41, 1)(45, 1)(23, 3)(33, 0)(15, 5)(9, 2)
189: (41, 0)(42, 0)(41, 1)(45, 1)(24, 3)(34, 0)(15, 5)(9, 2)
190: (41, 0)(43, 0)(41, 1)(45, 1)(24, 3)(34, 0)(16, 5)(10, 2)
191: (40, 0)(43, 0)(41, 1)(45, 1)(24, 3)(34, 0)(16, 5)(10, 2)
192: (40, 0)(43, 0)(41, 1)(45, 1)(25, 3)(35, 0)(16, 5)(10, 2)
193: (40, 0)(43, 1)(41, 1)(45, 1)(25, 3)(35, 0)(17, 5)(11, 2)
194: (39, 0)(43, 1)(41, 1)(45, 1)(25, 3)(35, 0)(17, 5)(11, 2)
195: (39, 0)(43, 1)(41, 1)(45, 1)(26, 3)(35, 1)(17, 5)(11, 2)
196: (39, 0)(43, 1)(41, 1)(44, 1)(26, 3)(35, 1)(18, 5)(11, 1)
197: (38, 0)(43, 1)(41, 1)(44, 1)(26, 3)(35, 1)(18, 5)(11, 1)
198: (38, 0)(43, 1)(41, 1)(44, 1)(27, 3)(35, 1)(18, 5)(11, 1)
199: (38, 0)(43, 1)(41, 1)(43, 1)(27, 3)(35, 1)(19, 5)(11, 1)
200: (37, 0)(43, 1)(42, 1)(43, 1)(27, 3)(35, 1)(19, 5)(11, 1)
201: (37, 0)(43, 1)(42, 1)(43, 1)(28, 3)(35, 1)(19, 5)(11, 1)
202: (37, 0)(43, 1)(42, 1)(43, 2)(28, 3)(35, 1)(20, 5)(11, 1)
203: (36, 0)(43, 1)(43, 1)(43, 2)(28, 3)(35, 1)(20, 5)(11, 1)
204: (36, 0)(43, 1)(43, 1)(43, 2)(28, 4)(35, 1)(20, 5)(11, 1)
205: (36, 0)(43, 1)(43, 1)(43, 2)(28, 4)(35, 1)(21, 5)(11, 1)
206: (35, 0)(44, 1)(43, 0)(43, 2)(28, 4)(35, 1)(21, 5)(11, 1)
207: (35, 0)(44, 1)(43, 0)(43, 2)(28, 4)(35, 1)(21, 5)(11, 1)
208: (35, 0)(44, 1)(43, 0)(43, 2)(28, 4)(36, 1)(21, 4)(11, 1)
209: (34, 0)(44, 0)(43, 0)(43, 2)(28, 4)(36, 1)(21, 4)(12, 1)
210: (34, 0)(44, 0)(43, 0)(43, 2)(28, 4)(36, 1)(21, 4)(12, 1)
211: (34, 0)(44, 0)(43, 0)(43, 2)(28, 4)(36, 0)(21, 4)(12, 1)
212: (33, 0)(44, 0)(43, 0)(43, 2)(28, 4)(36, 0)(21, 4)(12, 2)
213: (33, 0)(44, 0)(43, 0)(43, 2)(28, 4)(36, 0)(21, 4)(12, 2)
214: (33, 0)(44, 0)(43, 0)(43, 2)(28, 4)(36, 0)(21, 4)(12, 2)
215: (32, 0)(44, 0)(43, 0)(42, 2)(28, 4)(36, 0)(21, 4)(12, 2)
216: (32, 0)(44, 0)(43, 0)(42, 2)(28, 4)(36, 0)(21, 4)(12, 2)
217: (32, 0)(44, 0)(43, 0)(42, 2)(29, 4)(36, 0)(21, 4)(12, 2)
218: (31, 0)(44, 0)(43, 0)(41, 2)(29, 4)(36, 0)(21, 4)(12, 2)
219: (31, 0)(44, 0)(42, 0)(41, 2)(29, 4)(36, 0)(21, 4)(12, 2)
220: (31, 0)(44, 0)(42, 0)(41, 2)(29, 2)(36, 0)(21, 4)(12, 2)
221: (30, 0)(44, 0)(42, 0)(40, 2)(29, 2)(36, 0)(22, 4)(12, 2)
222: (30, 0)(43, 0)(41, 0)(40, 2)(29, 2)(36, 0)(22, 4)(12, 2)
223: (30, 0)(43, 0)(41, 0)(40, 2)(29, 2)(36, 0)(22, 4)(12, 2)
224: (29, 0)(43, 0)(41, 0)(39, 2)(29, 2)(37, 0)(23, 4)(12, 2)
225: (29, 0)(42, 0)(40, 0)(39, 2)(29, 2)(37, 0)(23, 4)(13, 2)
226: (29, 0)(42, 0)(40, 0)(39, 2)(29, 2)(37, 0)(23, 4)(13, 2)
227: (28, 0)(42, 0)(40, 0)(39, 3)(29, 2)(38, 0)(24, 4)(13, 2)
228: (28, 0)(41, 0)(39, 0)(39, 3)(29, 2)(38, 0)(24, 4)(14, 2)
229: (28, 0)(41, 0)(39, 0)(39, 3)(29, 2)(38, 0)(24, 4)(14, 2)
230: (27, 0)(41, 0)(39, 0)(39, 3)(29, 2)(39, 0)(25, 4)(14, 2)
231: (27, 0)(40, 0)(38, 0)(39, 3)(29, 2)(39, 0)(25, 4)(14, 3)
232: (27, 0)(40, 0)(38, 0)(39, 3)(29, 2)(39, 0)(25, 4)(14, 3)
233: (26, 0)(40, 0)(38, 0)(39, 3)(30, 2)(40, 0)(26, 4)(14, 3)
234: (26, 0)(39, 0)(37, 0)(39, 3)(30, 2)(40, 0)(26, 4)(14, 3)
235: (26, 0)(39, 0)(37, 0)(39, 3)(30, 2)(40, 0)(26, 4)(14, 3)
236: (25, 0)(39, 0)(37, 0)(39, 3)(30, 3)(41, 0)(26, 5)(14, 3)
237: (25, 0)(38, 0)(36, 0)(39, 3)(30, 3)(41, 0)(26, 5)(14, 3)
238: (25, 0)(38, 0)(36, 0)(39, 3)(30, 3)(41, 0)(26, 5)(14, 3)
239: (24, 0)(38, 0)(36, 0)(39, 3)(30, 3)(42, 0)(26, 5)(14, 3)
240: (24, 0)(37, 0)(35, 0)(38, 3)(30, 3)(42, 0)(26, 5)(14, 3)
241: (24, 0)(37, 0)(35, 0)(38, 3)(30, 3)(42, 0)(26, 5)(14, 3)
242: (23, 0)(37, 0)(35, 0)(38, 3)(30, 3)(42, 1)(26, 5)(14, 3)
243: (23, 0)(36, 0)(34, 0)(37, 3)(30, 3)(42, 1)(26, 5)(14, 3)
244: (23, 0)(36, 0)(34, 0)(37, 3)(30, 3)(42, 1)(26, 5)(15, 3)
245: (22, 0)(36, 0)(34, 0)(37, 3)(30, 3)(42, 1)(26, 5)(15, 3)
246: (22, 0)(35, 0)(33, 0)(36, 3)(30, 3)(42, 1)(26, 5)(15, 3)
247: (22, 0)(35, 0)(33, 0)(36, 3)(30, 3)(42, 1)(26, 5)(15, 2)
248: (21, 0)(35, 0)(33, 0)(36, 3)(30, 3)(42, 1)(26, 5)(15, 2)
249: (21, 0)(34, 0)(32, 0)(35, 3)(31, 3)(42, 1)(27, 5)(15, 2)
250: (21, 0)(34, 0)(32, 0)(35, 3)(31, 3)(42, 1)(27, 5)(15, 2)
251: (20, 0)(34, 0)(32, 0)(35, 3)(31, 3)(42, 1)(27, 5)(15, 2)
252: (20, 0)(33, 0)(31, 0)(34, 3)(32, 3)(42, 1)(28, 5)(15, 2)
253: (20, 0)(33, 0)(31, 0)(34, 3)(32, 3)(42, 1)(28, 5)(15, 2)
254: (19, 0)(33, 0)(31, 0)(34, 3)(32, 3)(42, 1)(28, 5)(15, 2)
255: (19, 0)(32, 0)(30, 0)(33, 3)(33, 3)(43, 1)(28, 4)(15, 2)
256: (19, 0)(32, 0)(30, 0)(33, 3)(33, 3)(43, 1)(28, 4)(15, 2)
257: (18, 0)(32, 0)(30, 0)(33, 3)(33, 3)(43, 1)(28, 4)(15, 2)
258: (18, 0)(31, 0)(29, 0)(32, 3)(34, 3)(43, 0)(28, 4)(15, 2)
259: (18, 0)(31, 0)(29, 0)(32, 3)(34, 3)(43, 0)(28, 4)(15, 2)
260: (17, 0)(31, 0)(29, 0)(32, 3)(34, 3)(43, 0)(28, 4)(14, 2)
261: (17, 0)(30, 0)(28, 0)(31, 3)(35, 3)(43, 0)(28, 4)(14, 2)
262: (17, 0)(30, 0)(28, 0)(31, 3)(35, 3)(43, 0)(28, 4)(14, 2)
263: (16, 0)(30, 0)(28, 0)(31, 3)(35, 3)(43, 0)(28, 4)(14, 3)
264: (16, 0)(29, 0)(27, 0)(30, 3)(36, 3)(43, 0)(28, 4)(14, 3)
265: (16, 0)(29, 0)(27, 0)(30, 3)(36, 3)(43, 0)(28, 4)(14, 3)
266: (15, 0)(29, 0)(27, 0)(30, 3)(36, 3)(43, 0)(28, 4)(14, 3)
267: (15, 0)(28, 0)(26, 0)(29, 3)(36, 2)(43, 0)(28, 4)(14, 3)
268: (15, 0)(28, 0)(26, 0)(29, 3)(36, 2)(43, 0)(29, 4)(14, 3)
269: (14, 0)(28, 0)(26, 0)(29, 3)(36, 2)(43, 0)(29, 4)(14, 3)
270: (14, 0)(27, 0)(25, 0)(29, 4)(36, 2)(43, 0)(29, 4)(14, 3)
271: (14, 0)(27, 0)(25, 0)(29, 4)(36, 2)(42, 0)(30, 4)(14, 3)
272: (13, 0)(27, 0)(25, 0)(29, 4)(36, 2)(42, 0)(30, 4)(14, 3)
